"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 22 17:33:32 UTC 2021","Wed Sep 22 17:33:34 UTC 2021","1792","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Sep 20 15:23:33 UTC 2021","Mon Sep 20 15:23:36 UTC 2021","3389","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
