"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 16 20:22:19 EEST 2021","Thu Sep 16 20:22:22 EEST 2021","3137","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Sep 20 18:23:33 EEST 2021","Mon Sep 20 18:23:36 EEST 2021","3389","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
